noshuffle_cross0,noshuffle_cross1,noshuffle_cross2,noshuffle_cross3,shuffle_cross1,shuffle_cross2,shuffle_cross3
26.0,26.0,26.0,26.0,26.0,26.0,28.0
26.0,28.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,28.0,26.0,26.0,26.0
25.0,28.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,28.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,28.0,26.0,26.0,26.0,26.0,28.0
26.0,26.0,24.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,24.0,26.0,26.0,26.0
24.0,26.0,26.0,28.0,26.0,26.0,26.0
26.0,24.0,24.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,28.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,24.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
25.0,24.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
25.0,26.0,26.0,28.0,26.0,26.0,26.0
25.0,26.0,26.0,26.0,26.0,26.0,28.0
26.0,26.0,26.0,26.0,26.0,26.0,28.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,28.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
24.0,26.0,26.0,26.0,26.0,26.0,28.0
25.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
25.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,24.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,28.0,26.0,26.0,28.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,28.0,26.0,26.0,28.0
25.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,24.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,24.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,24.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
25.0,26.0,26.0,26.0,26.0,26.0,26.0
26.0,26.0,26.0,26.0,26.0,26.0,26.0
,,,,,,
