noshuffle_cross0,noshuffle_cross1,noshuffle_cross2,noshuffle_cross3,shuffle_cross1,shuffle_cross2,shuffle_cross3
52.0,54.0,54.0,54.0,54.0,54.0,56.0
52.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
52.0,54.0,54.0,54.0,54.0,54.0,54.0
53.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
52.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
52.0,54.0,54.0,54.0,54.0,54.0,54.0
53.0,54.0,54.0,54.0,54.0,54.0,54.0
52.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
52.0,54.0,54.0,54.0,54.0,54.0,54.0
52.0,52.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
52.0,54.0,54.0,54.0,54.0,54.0,54.0
52.0,54.0,54.0,54.0,54.0,54.0,54.0
52.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
52.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,52.0,54.0,54.0,54.0,54.0,54.0
54.0,52.0,54.0,54.0,54.0,54.0,54.0
52.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
52.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
53.0,54.0,54.0,54.0,54.0,54.0,54.0
53.0,54.0,54.0,54.0,54.0,54.0,54.0
53.0,52.0,54.0,54.0,54.0,54.0,54.0
54.0,52.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
53.0,54.0,54.0,54.0,54.0,54.0,54.0
52.0,52.0,54.0,54.0,54.0,54.0,54.0
52.0,52.0,54.0,54.0,54.0,54.0,54.0
52.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
53.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
52.0,54.0,54.0,54.0,54.0,54.0,54.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0
,,,,,,
